,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
TNFRSF14,8911
PANK4,1414
CIB4,7
MEGF11,60
C12orf43,621
PEX10,508
RER1,4025
RADIL,754
SKI,8707
WIPI2,4426
LDLRAP1,2627
AGAP1,1668
KRTCAP3,820
ANKRD61,39
PAFAH2,1283
EXTL1,33
SLC30A2,5
BABAM2,1185
TRIM63,19
CFAP251,314
MRPL17,1111
DUSP2,1898
GRHL3,11
UBXN11,3530
NLRP14,11
PTPDC1,677
GALNT14,70
NCK1,1695
HPD,22
RHPN1,1401
TPRG1L,3626
LRRC43,114
PRXL2C,986
XDH,170
XKR8,583
CNNM4,2062
EYA3,1647
DZIP1L,558
TMSB15A,25
FANCC,807
MRAS,1831
WASF2,9270
ABHD3,1669
ESYT3,2543
FAIM,568
TENT5B,1443
CLSTN2,147
COLEC12,5563
RNF207,1056
CUL4B,3290
GPR153,1245
SLC13A3,219
GPRASP2,568
RHBDL2,72
AUTS2,3530
SHROOM4,4928
H2BC5,234
CDC25C,15
H4C8,161
MITD1,937
EIF5B,3074
RIBC1,141
TMSB15B,9
CATIP,72
CNOT11,1873
KCNB1,88
TSPAN33,623
NRG2,45
AHCYL2,9420
B4GALT5,3631
CD1D,440
CD1A,147
SPATA2,736
CD1C,379
CD1B,98
DNAH3,235
CD1E,381
HMHB1,0
CPA2,2
NCF1,454
CPA5,11
TSR2,1809
PPP1R9A,1717
ZC3H18,2594
ZFAND2B,1585
POM121L2,1
GDPD5,1958
DYNC1I1,69
PFKFB1,15
ALAS2,11
TMED4,4905
PPP1R15B,4554
COPG2,925
EMSY,1341
PAGE5,1
GPAT4,2812
PKD1L1,75
ZSCAN12,413
TAGLN2,31641
ELK4,3162
SLAMF8,846
SLC45A3,830
DUSP23,1210
RNF166,3031
NBL1,9848
HTR6,8
ITLN2,479
F11R,9094
USF1,3606
PLA2G2F,1
SPATA2L,593
NIT1,1384
DEDD,1268
ZNF276,1657
NPM2,81
EDA,230
FGF17,49
VWA5B1,18
CDA,79
PINK1,1008
B4GALT3,2149
DMTN,1832
ADAMTS4,170
FAM160B2,4752
NDUFS2,3598
SLC5A11,8
FCER1G,3309
APOA2,1
TOMM40L,345
MPZ,76
WFDC8,1
CCAR2,3532
WNT9B,2
CACHD1,2140
CDC42SE2,4393
RAPGEF6,985
EPB41,3209
MIS18A,304
ALG8,939
FBXW5,5873
CFAP298,381
SYNJ1,1479
PAXBP1,2425
IFNAR2,100
MRPL10,1885
IFNGR2,2674
GART,1861
SON,13096
DONSON,480
SV2A,196
LAD1,640
STC1,533
TNNI1,42
CSRP1,19795
PRAC1,0
HOXB13,2
C1QC,20297
KCNE2,1
ATP5MC1,1132
RCAN1,4669
UBE2Z,4849
CIART,63
SNF8,1086
CLIC6,911
CCDC24,387
RUNX1,4649
IGF2BP1,6
GIP,1
CBR1,1608
CBR3,26
AC005041.1,13
GJD2,0
ACTC1,9
MORC3,2462
CHAF1B,215
CLDN14,0
SIM2,1
HLCS,982
GOLGA6A,0
SCUBE1,811
ARHGAP27,4139
ADPGK,5671
PTMS,8632
PLA2G4D,20
PADI4,10
ADIPOR1,7554
CYB5R1,3059
PSMD4,3756
ATP13A2,2867
M1AP,196
PSMB4,6162
IRX6,350
BTG2,13636
CES5A,0
HK2,3839
C1R,11208
CELF3,3
ALDH4A1,1029
STARD9,3597
THEM4,1425
TCHH,33
LCE2B,0
UBR1,1916
AMFR,3967
MED8,1097
TGM7,0
RGL4,118
SPRR2G,0
PGLYRP3,0
ISL2,1
RSPRY1,1583
CCDC17,523
GPBP1L1,6409
NAE1,1472
TMEM69,821
ADGRG5,318
DRC7,111
ACE,11670
TEPP,5
UROC1,4
EFCAB14,8468
SPON2,1480
CHCHD6,910
CTBP1,4378
LRRC36,2368
TPPP3,4875
ZDHHC1,987
ATP6V0D1,7429
AGRP,197
ZFYVE28,967
CARMIL2,800
C16orf86,231
PIP,9
FAM131B,88
RGS12,4032
PSKH1,1521
ZYX,15236
ABR,9707
LYPD5,90
CCDC117,1423
ZNF230,260
CCDC107,97
ZNF222,126
NPR2,846
ZNF221,38
ZNF233,59
ZNF235,199
GNE,1399
TNFRSF13C,182
OR3A3,0
ARHGAP35,6749
PTGIR,948
CALM3,8332
DFFA,1780
CCDC28B,211
IQCC,151
TMEM234,427
BSDC1,5031
ZBTB8A,582
ATAD3B,1903
SSU72,4962
UBE2J2,2130
ZNF362,2745
FNDC5,163
CPAMD8,7033
NR2F6,1218
ANKLE1,38
CCDC58,380
VMA21,1869
KALRN,659
CILP2,49
ABCG1,4456
TFF3,138
TFF2,0
TFF1,0
TMPRSS3,869
UBASH3A,391
RSPH1,364
SLC37A1,2439
PDE9A,566
WDR4,417
NDUFV3,1751
PKNOX1,951
CBS,28
U2AF1,327
CRYAA,1
HSF2BP,7
RRP1B,1869
PDXK,12260
G6PD,3108
CSTB,9606
RRP1,1207
AGPAT3,5642
TRAPPC10,1585
GAB3,1605
GATD3A,7
ICOSLG,113
AIRE,10
CFAP410,502
ZNF66,108
LRRC3,710
ITGB2,21927
FAM207A,410
RALGDS,1019
FTCD,16
SPATC1L,340
LSS,4404
VAV2,3153
MCM3AP,2910
C21orf58,388
PCNT,2775
DIP2A,3858
S100B,203
PRMT2,6151
CLDND2,60
ZNF208,67
ADAMTS13,582
CACFD1,2061
SLC2A6,633
ZNF761,850
FCN2,2
C9orf116,144
LCN1,2
ZNF714,545
GPSM1,2722
C19orf47,814
HIPK4,25
CFAP157,417
TOR2A,944
ST6GALNAC6,58
SHKBP1,4320
RDH13,786
ZER1,3983
ZDHHC12,1704
PKN3,883
SPTBN4,108
BRSK1,104
COX6B2,5
TMEM190,10
NLRP4,14
PLPP7,118
TAOK1,4415
MED27,571
DEDD2,1862
SIK3,2614
MPZL3,1550
JAML,5646
NEK8,418
TLCD1,187
PCSK7,1943
SAFB,5639
CD3G,637
S100A1,129
CHTOP,3634
CXCR5,2
ZBTB7B,3448
FLAD1,1250
SHC1,3115
VPS11,2709
NLRX1,1530
ADAR,17189
IL6R,4011
UBE2Q1,3256
CHRNB2,7
CRTC2,3538
ANO10,1195
FDPS,1199
RUSC1,1511
FAM189B,1106
PAQR6,269
PMF1,970
SLC25A44,1759
LMNA,23988
CCR5,1238
NBEAL2,15634
CCDC12,2195
PTH1R,545
UBQLN4,2561
MYL3,87
PPP1R35,302
GPATCH4,751
LRRC71,158
FCRL3,286
AZGP1,932
FGFR4,5215
CYP3A4,8
CYP3A7,6
NACC1,2053
CYP11B1,1
HK3,2996
LY6K,6
IER2,2544
ZNF394,1344
CPSF4,1228
LY6E,11224
VPS28,5431
TONSL,500
PTGER1,48
PWWP3A,2045
RECQL4,279
LRRC14,1233
ZNF333,1298
COL26A1,120
PPP1R16A,874
FOXH1,1
ORAI2,1574
ALKBH4,447
CCDC105,0
SH2B2,254
MRNIP,1488
SQSTM1,9543
MGAT4B,6086
RPL8,53227
MAML1,3490
PGLYRP2,2
LRWD1,740
FBXL13,53
NAPEPLD,1473
SCGB3A1,14740
PSMC2,3011
CELF5,22
MFSD12,2615
USP41,3
YDJC,522
CCDC116,35
DVL3,5270
AP2M1,12351
ABCF3,2802
PCYT1A,3246
FBXO27,94
DMKN,3054
U2AF1L4,275
BDH1,478
NPHS1,0
THAP8,325
COX7A1,535
ZNF382,198
LRRC56,416
PLXDC1,733
PGAP3,2441
IKZF3,2488
GRIN2C,107
FDXR,638
SAP30BP,3432
ACOX1,3493
PRPSAP1,2326
CYGB,1177
SRSF2,5855
ZNF577,653
TMEM143,549
KLHL10,13
KASH5,5
HCRT,0
ALDH16A1,1850
DCD,0
ITGA5,6373
SIGLEC11,88
ZNF385A,2703
MPP3,696
CD300LG,1527
IZUMO2,14
NAGS,372
LSM12,251
ASB16,104
EMC10,4490
JOSD2,1076
SHANK1,26
FAM171A2,124
DBF4B,415
PLCD3,1132
FMNL3,4238
AQP5,800
RACGAP1,666
OR7G1,0
LARP4,2393
TAMALIN,2252
RAVER1,832
KRT84,0
KRT82,0
SYCE2,22
SPC24,91
IP6K3,80
LEMD2,2989
ALOX15,284
TREML1,152
ZNF653,329
MED11,546
CXCL16,12329
SCIMP,696
RNASEK-C17orf49,0
BCL6B,1474
ASGR2,64
TNFSF13,767
SENP3,563
FGF11,2
EIF4A1,519
RPL26,734
CCDC42,9
POLR3K,425
SNRNP25,638
PRR35,0
WDR90,2131
JMJD8,657
CCDC78,467
MSLNL,57
SSTR5,1
SPSB3,16
MEIOB,30
HS3ST6,20
TEDC2,50
CCNF,325
TBC1D24,2377
AMDHD2,1011
NTN3,2
BICDL2,901
PAQR4,151
FLYWCH2,953
ZG16B,108
ZNF75A,932
ADCY9,5179
SHANK2,2607
CLPB,1056
NEU3,1062
CYB561A3,2198
PPP1R32,321
ASRGL1,525
GNG3,9
UBXN1,4883
LBHD1,119
TTC9C,749
TAF6L,469
NXF1,7515
STX5,2046
SLC25A45,1425
RPL29,17476
ITIH3,245
SYVN1,3547
ZFPL1,97
RPS6KA4,2406
LRP5,6169
TPCN2,820
FGF19,0
CYP4A22,26
PDZK1IP1,1894
TAL1,924
CMPK1,7221
BEND5,285
ELAVL4,12
COA7,431
ZYG11B,2758
SLC1A7,106
CZIB,1625
MAGOH,802
ACOT11,258
FAM151A,23
PARS2,120
LEXM,9
BSND,18
USP24,4252
PLPP3,6131
NOL9,1510
PRKAA2,205
KLHL21,2962
ZSWIM5,550
GMEB1,802
SLC45A1,95
SELENON,5606
AK4,254
JAK1,11756
RAVER2,1518
CTRC,13
LZIC,1710
RBP7,178
KNCN,2
FBLIM1,1754
TMEM82,2
SLC25A34,125
AKR7A3,25
DRAXIN,18
PDPN,1916
LRRC38,0
DHRS3,5188
MATN1,11
LAPTM5,12715
SDC3,6640
PEF1,3300
SYNC,167
RBBP4,3482
KIAA1522,5894
TSSK3,16
TMCO4,1478
UBXN10,592
CAMK2N1,3438
ALPL,5941
WNT4,220
TTLL10,182
SCNN1D,613
MXRA8,4479
FAAP20,2062
MEGF6,7418
CCDC27,2
IL23R,28
DIRAS3,136
C1orf87,88
NFIA,2173
OMA1,429
MYSM1,2962
TM2D1,1391
USP1,1831
FUBP1,5267
NEXN,868
DNAJB4,1607
ADGRL4,1391
LRRIQ3,23
LRRC53,1
TYW3,979
LHX8,0
SNX7,654
B3GALT2,195
NTNG1,503
FAM102B,1684
HENMT1,369
AKNAD1,9
C1orf52,1082
DNAI3,100
GBP2,4733
ATXN7L2,440
GBP4,8648
ZNF326,2061
HFM1,88
BRINP3,48
GFI1,690
KCNT2,407
AGL,1418
VCAM1,1160
EXTL2,888
SLC30A7,2127
ZNF281,1046
ARPC5,12320
CADM3,79
NLRP3,1008
ZNF496,2404
TRIM58,139
SLAMF9,3
OR2M5,0
KCNJ9,1
IGSF8,3063
DDR2,2239
PEA15,7452
PEX19,2258
NCSTN,5960
VANGL2,1221
SLAMF6,812
OLFML2B,1043
FCRLB,62
FCGR3B,104
SLC9C2,26
KLHDC9,180
C1orf74,82
LMX1A,1
LRRC52,7
FLVCR1,758
FAM71A,0
ATF3,7264
RBM15,621
DENND2D,2867
AXDND1,14
TDRD5,18
IER5,1570
SNED1,1846
BPNT1,1324
SPATA17,83
C1orf115,2451
BROX,2834
NBPF20,123
ACP6,1018
WDR64,3
KIF26B,226
TFB2M,409
CNST,1783
PPP1R21,1819
KLHDC8A,12
PM20D1,18
PKDCC,1276
OXER1,131
HAAO,421
B3GALNT2,787
MAPKAPK2,7150
IL20,0
IL24,18
FCMR,1007
PIGR,11583
FCAMR,1
CAPN2,24507
MRPL55,1423
WDR26,7611
REL,932
PUS10,609
PEX13,1646
KIAA1841,807
TRIM17,111
RFTN2,301
DISC1,388
CAPN13,603
LRRTM1,4
MEMO1,133
DPY30,1171
TYW5,736
MAIP1,400
KCNF1,13
SLC66A3,1774
ARL5A,2157
LRATD1,935
KCNJ3,27
NEUROD1,0
CLHC1,509
FRZB,1262
DUSP19,234
CFAP36,1466
NUP35,410
CCDC138,169
ZSWIM2,0
FBXO41,640
ACTG2,1131
WDCP,324
SMC6,1766
VSNL1,198
CCDC74A,157
H3-3A,1104
ANKRD30BL,0
COQ8A,63
SLC16A14,262
TEKT4,36
EN1,1
SGCB,2068
SPATA18,619
NOSTRIN,1592
CFAP221,882
SGPP2,870
INHBB,183
XIRP2,7
BBS5,443
SMARCAD1,1827
HPGDS,251
PDLIM5,3053
PDHA2,0
STPG2,17
NEURL3,42
RPRD2,2780
ANKRD23,62
CTSS,27162
MSX1,111
PACRGL,723
BNIPL,789
C1QTNF7,954
TNFAIP8L2,548
LYSMD1,340
SCNM1,954
TMOD4,59
VPS72,1473
ERCC3,3007
RNF149,4805
IWS1,2134
BOLA3,81
CDC42EP3,2831
S100A11,12030
LCE3D,0
SMCP,0
IVL,11
SPRR3,0
DHX57,931
SPRR2D,0
BMP10,5
PGLYRP4,0
ARHGAP25,2905
S100A9,4429
S100A12,6
TGFA,699
TDRD10,563
CCNYL1,1294
FZD5,3180
CRYGC,0
DCAF16,2204
C1orf189,12
NPPC,0
GNPDA2,724
ALPP,527
GABRG1,1
ALPG,32
GABRB1,2
PAQR3,633
NIPAL1,35
ALPI,0
ANTXR2,3332
HELQ,696
MRPS18C,186
CGGBP1,4809
ABRAXAS1,313
GPR155,999
DAPL1,13
PMVK,1766
PBXIP1,11243
CLDN1,665
PYGO2,2497
HIPK1,5333
LENEP,4
DCST2,89
DCST1,18
COL6A3,20199
INAVA,312
YY1AP1,1893
KBTBD8,307
TAFA4,1
EOGT,2735
LMOD3,98
NAXE,2254
POGLUT1,1092
SLC22A15,810
CCKAR,0
IGFN1,68
ATP1A1,10542
SLC15A2,3708
EIF4E3,2346
PROK2,22
TEX55,0
LRRC58,2372
FSTL1,7263
LMOD1,1676
ELF3,4107
PDCL2,0
TMEM183A,1262
TMEM169,24
IGFBP7,7407
TRIM46,330
KRTCAP2,344
CXCR1,40
ARPC2,14888
TSACC,11
CCT3,4520
TMEM79,284
SSR2,6661
RNF25,861
STK36,2043
ADORA1,296
NEK10,103
CCDC141,459
FEV,2
CRYBA2,0
IHH,366
CIP2A,147
EOMES,408
CWC22,1292
AZI2,620
TGFBR2,21416
RETNLB,0
ANKZF1,3119
HDAC11,1384
FCRL4,0
TRAT1,483
FBLN2,1713
GLB1L,427
STT3B,9383
CHCHD4,615
DPPA2,0
NFASC,1377
FCRL1,97
SGO2,168
SERPINI1,221
CLASP2,3229
SUCLG1,2662
NUAK2,662
SPTA1,6
PRKCI,3223
MNDA,1859
PYHIN1,403
IFI16,4849
AIM2,129
EFHB,141
EIF5A2,210
SLC2A2,0
RPL22L1,623
FABP1,3
PPM1L,1307
ICA1L,324
CTLA4,540
ICOS,319
RYBP,3197
PPP4R2,2562
CD200R1,254
GTPBP8,326
NEPRO,1978
SPICE1,157
CCDC191,738
CADPS,53
NKX6-1,1
CDS1,1466
WDFY3,3440
COX18,1134
PTPN13,3710
SYNPR,0
ALB,15
C3orf49,11
C4orf36,12
THOC7,1317
ATXN7,3278
PSMD6,2487
PRICKLE2,1704
ADAMTS9,486
PPM1K,2420
ERICH6,3
CLRN1,1
GMPS,2076
TIPARP,4529
CCNL1,9544
PTX3,86
HESX1,61
DCLK3,12
SLMAP,2384
RPL9,15402
SMIM14,5173
RPP14,397
ABHD6,758
DNASE1L3,364
CFAP20DC,35
RBM47,5169
APBB2,3914
IL17RE,1472
IL17RC,1176
CRELD1,221
PRRT3,188
FANCD2OS,0
PCOLCE2,484
U2SURP,5276
MTMR14,3430
TTC14,2710
CXCL3,1080
CXCL5,168
PPBP,41
PF4,14
MTHFD2L,442
CXCL1,768
RCHY1,1106
PLSCR2,14
CCDC158,39
CPA3,2148
GYG1,1887
HPS3,1316
TM4SF18,836
TOPBP1,1593
RYK,2831
SNRK,3443
TCF23,0
DNAJC5G,1
UCN,64
ZNF513,956
SLC4A1AP,1323
PLB1,248
SPDYA,43
KIAA1143,1563
KIF15,78
TGM4,6
WDR43,1330
ZDHHC3,5678
CDCP1,1671
CLEC3B,1052
SLC6A20,388
LZTFL1,1459
FYCO1,4138
CCR1,2089
RTP3,3
LRRC2,265
ELP6,771
FBXO40,2
DTX3L,4824
ZNF148,2606
NMNAT3,246
SMIM12,1395
ZMYM6,1277
TPRA1,2275
YEATS2,2300
GRIK3,140
ZC3H12A,1140
MEAF6,2566
SNIP1,811
DNALI1,1103
POLR2H,1763
KLF15,839
CFAP100,199
CAMK2N2,12
LIPH,3788
TMEM41A,1415
RPN1,12932
SENP2,1830
HEYL,1423
IFT122,2020
RHO,0
RFC4,276
RPL39L,111
BAP1,4728
TKT,20158
PRKCD,4705
RFT1,807
SFMBT1,634
GNL3,1833
PBRM1,3579
UVSSA,4128
TASOR,3793
ARHGEF3,3493
SLBP,1588
LRPAP1,8664
ZDHHC19,38
SLC51A,216
UBXN7,2909
RNF168,1241
PIGX,674
MELTF,184
OTOP1,0
S100P,52
ABLIM2,253
EXO5,159
CLDN19,8
C1orf50,107
ERMAP,836
ZNF691,443
AIMP1,2265
SGMS2,3072
METAP1,1949
DNAJB14,2896
H2AZ1,2685
EMCN,3254
SLC9B1,45
SLC9B2,226
BDH2,1377
PGRMC2,2809
CDC25A,46
CAMP,153
ZNF589,2263
FBXW12,9
PLXNB1,9217
CCDC51,476
ATRIP,517
SHISA5,9171
SPRY1,3286
BSN,103
APEH,4035
INTU,1310
RNF123,1826
HSPA4L,167
MFSD8,1254
ABHD18,1066
CAMKV,1
MON1A,502
MST1R,1779
RAD54L2,1972
TEX264,2715
GRM2,64
DUSP7,1717
POC1A,117
PPM1M,2598
ETNPPL,0
WDR82,5630
PITX2,0
C4orf3,6607
PRSS12,368
NDST3,7
HMGB2,2773
SAP30,298
SCRG1,11
HAND2,5
MAD2L1,176
ANXA5,18848
TMEM155,41
ADAD1,0
MAP9,529
GUCY1A1,2540
FBXO8,1114
CEP44,1129
HPGD,7002
ASB5,6
C4orf45,6
TMEM144,778
GASK1B,2089
NPY1R,113
NPY5R,11
NAA15,1607
IL15,771
FAM160A1,1114
ARFIP1,2268
ICE1,2074
HHIP,2269
ANAPC10,188
ABCE1,1820
OTUD4,3372
LSM6,703
TMEM184C,1526
PRMT9,617
ITGA2,2013
MOCS2,1454
SLC45A2,2
EDIL3,4670
TMEM161B,1185
ELOVL7,482
NDUFAF2,382
ZNF474,37
LMBRD2,1128
RANBP3L,244
NIPBL,4285
RNF180,485
ADGRV1,1458
SLC25A46,2714
STARD4,1460
PGGT1B,1423
F2RL2,36
CCDC112,491
ANKRD33B,541
CMBL,1071
C5orf63,385
PRRC1,2840
F2RL1,374
AGGF1,1004
WDR41,1627
PRDM9,0
NDUFS4,1135
SCGB3A2,4978
SPINK1,13
HTR4,4
ESM1,1539
GRPEL2,1016
CDC20B,4
ARSK,360
RHOBTB3,3110
GPX8,520
TIGD6,242
SPZ1,0
SERINC5,5299
ENPP6,29
CAGE1,3
CASP3,1380
PRIMPOL,423
ERAP1,3858
ERAP2,6473
CMYA5,331
EGFLAM,79
CFAP97,1938
TMEM174,0
CARTPT,0
RICTOR,3189
TENT2,3289
EBF1,454
ANKRA2,1112
UBLCP1,1785
FAM170A,0
UTP15,598
TLR3,1190
KLKB1,75
NSA2,3731
GFM2,725
TERT,2
SLC6A18,0
CCDC127,911
FOXQ1,322
ADGRF2,5
ACSL6,74
IL3,1
CSF2,29
SEPTIN8,2112
SHROOM1,1478
GDF9,14
UQCRQ,1215
LEAP2,59
GJB7,14
SLC35A1,930
GRIK2,15
CGAS,544
FABP7,1
TLX3,0
TXLNB,153
CITED2,16624
CALHM4,0
TBXT,0
CREBRF,2855
DCBLD1,1504
SFXN1,1170
SAMD3,268
TMEM200A,498
IL22RA2,22
DACT2,684
PDSS2,1099
SPATA48,1
STXBP5,1385
H2AC1,0
IL31RA,7
ANKRD55,17
RAET1E,12
PI16,65
TBX20,0
DAGLB,2026
KIAA0895,413
STK17A,2830
TRA2A,4764
GALNT10,3806
SAP30L,2090
RPS14,25164
HCN1,2
MYOZ3,69
COG5,1411
NEUROD6,0
BMT2,683
GPR85,143
SLU7,2289
RP9,301
PTTG1,294
CAMLG,1963
BMPER,465
RELL2,140
KCNK5,1336
KIF6,116
ZNF12,1335
SLC29A4,86
TEX47,0
STEAP1,115
CDCA7L,906
SP8,0
MIOS,1320
ELAPOR2,2140
USP49,721
SYTL3,627
IQUB,48
HEY1,3819
ZNF704,3724
FABP5,704
SHH,489
TAGAP,1823
COL1A2,25135
FNDC1,214
CHMP4C,407
SLC13A4,135
PGAM2,0
BRI3,7162
LMTK2,2945
SLC35G3,0
CTSB,93674
SOX17,672
DLC1,21011
ADCY1,97
C8orf48,28
SUN3,7
C7orf57,74
HNF4G,13
PEX2,1933
RAD21,8501
SLC30A8,0
MED30,385
TNFRSF11B,187
SBSPON,761
PHKG1,78
EN2,0
KCNV1,3
CSMD3,1
SPIDR,3766
ORC5,651
DEFA5,0
DNAAF5,1263
DEFA4,1
DEFA6,0
OSGIN2,2008
DEFB1,2
SUN1,7157
OXR1,1836
TMEM74,6
GPR146,196
GPER1,459
UNCX,0
TMEM184A,461
NOS3,477
SPAG11B,0
MICALL2,3272
CA3,308
INTS1,8360
CDK5,442
SLC4A2,4270
SLC7A13,0
FASTK,3666
TMUB1,1761
FMC1,19
GBX1,1
PHAX,1291
ALDH7A1,2075
FOXK1,3536
COX6C,1556
OSR2,62
YWHAZ,23361
BAALC,250
FZD6,2859
CTHRC1,102
SLC25A32,29
DCAF13,1146
DCSTAMP,446
TP53INP1,5643
INTS8,1161
VIRMA,2535
FREM1,302
GEM,1292
PDP1,1081
TMEM67,583
WASHC5,2016
RPP25L,609
FAM219A,1537
C9orf24,188
SNAPC3,1616
MYORG,736
NUDT2,612
TMEM65,1565
PSIP1,3255
CCDC171,226
UBAP1,3156
DIRAS2,9
SYK,4984
NIPSNAP3B,310
ABCA1,11501
NFIL3,1944
LETM2,183
METTL2B,876
PRKACG,0
FXN,176
ZMAT4,3
NKX6-3,2
TMEM71,344
MAMDC2,3204
PRSS37,8
CPA6,5
C8orf34,265
TMC1,13
ALDH1A1,11253
KDM1B,987
HGSNAT,6670
RASEF,944
GKAP1,346
KIF27,316
C9orf64,905
HNRNPK,18521
SSMEM1,1
SVEP1,4640
TRPV6,201
LLCFC1,15
ANKS6,2051
FBP1,5432
PGAP4,517
ZHX1,1565
CFAP47,95
CYBB,15652
DYNLT3,1710
METTL27,77
MID1IP1,5631
SHOC1,28
CXorf58,3
KIAA1958,847
PTCHD1,39
RNF183,19
ASB11,7
PCDH19,30
PIGA,2347
VEGFD,2560
OR1Q1,1
OR1K1,1
STRBP,1057
CLDN3,984
GAPVD1,4198
CARD19,1364
WNK2,71
ATP7A,1341
ZNF367,126
NLGN4Y,1
HDX,178
NDUFB6,1115
AQP7,198
NOL6,2258
AQP3,9469
TRMT10B,555
VCP,12167
PIGO,1932
STOML2,1849
BRWD3,1539
SLITRK5,112
MELK,74
ARMC3,181
OTUD1,2739
ARHGAP12,2472
FAT3,550
DEUP1,9
HECTD2,878
SLC7A3,1
FBXO33,1076
INTS6L,1146
GPR101,0
CLDN2,351
LRFN5,78
LRRC18,48
SPTSSA,3372
WRN,832
MARCHF8,2438
TSHR,13
CFL2,2423
SUGT1,2171
GTF2A1,2265
ZCCHC24,2255
PGM2L1,662
PHYHIPL,2
SLC16A9,71
FOLR2,1744
INPPL1,11354
PHOX2A,0
MBL2,0
GJB2,42
CRYL1,1581
REEP3,3028
HEPACAM,1
SKA3,24
MICU2,2059
DDIAS,137
PCF11,2788
PKNOX2,1346
RPL10L,0
LRR1,187
RPL36AL,3462
DNAAF2,556
DEPP1,27609
MAGEC3,4
ZNF22,1023
KLHDC2,2101
EML5,51
NEMF,1358
RPUSD4,1082
ARF6,6771
TTC8,824
TMEM63C,37
NGB,1
NOXRED1,45
CDX2,1
AMER2,0
AKR1E2,104
KBTBD6,412
SSX5,0
SSX3,0
OTX2,1
FAAH2,373
DRGX,16
NUDT5,2141
DACT1,269
OXGR1,14
UCMA,0
BEND7,1049
ATP5F1C,4010
PRPF18,233
TAF3,865
VSTM4,1517
VDAC2,2223
SOHLH1,0
COMTD1,519
SLC18A2,149
PDZD8,1655
ZNF503,1978
ABRAXAS2,943
QSOX2,1010
FAM204A,1817
NSD1,4116
PRDX3,4172
ENOX2,559
GHITM,6338
CLEC1B,41
SNAPC4,1591
TMEM52B,219
PMPCA,2510
ENTR1,1788
FRMD7,0
AK8,131
SPACA9,422
TSC1,3462
GFI1B,20
HPRT1,674
BORCS5,467
DIPK1B,568
ZMYND19,726
STOX1,66
RET,108
DDX21,2875
BMS1,1872
STK32C,839
JCAD,10208
OR4K2,0
FUNDC2,1946
PIP4P1,2041
METTL17,1631
SLC39A2,5
NDRG2,5519
RNASE7,8
ARHGEF40,3467
NSMF,2138
ZNF219,2665
C12orf50,4
CASP7,2068
PPP1R36,45
BTNL9,7880
CCDC186,2713
VWA2,1639
METTL3,2131
SALL2,661
PRAP1,9
TRUB1,898
ERICH6B,22
CYP2C19,9
ZFYVE1,1653
C10orf82,1
HSPA12A,572
FRAT1,683
UBTD1,2382
ANKRD2,6
E2F7,51
ARHGAP42,1205
ISCA2,494
OTOGL,18
LARGE2,389
PACSIN3,1398
TTC7B,1295
SLC39A13,3970
PSMC3,3523
RAPSN,29
AGBL2,186
TC2N,3457
CPSF2,2253
SMCO2,10
MOAP1,1989
IFI27L1,618
IFI27,11945
SERPINA12,2
CLMN,1464
PDZRN4,57
SLC6A5,11
CCDC38,12
NELL1,2
PTER,930
C1QL3,7
CACNB2,266
HACD1,541
ARL5B,2152
SMCO4,955
CEP295,427
KCNC2,1
TAF1D,2754
ABTB2,280
R3HCC1L,1197
AMOTL1,5329
HTRA1,2887
LIPC,48
CEP57,1929
TCP11L2,924
PASD1,0
SPRED1,5223
TMCO5A,0
GPR176,441
JAM3,810
IL25,0
CMTM5,37
GLB1L3,386
ADAMTS15,499
SVOP,4
SPATA19,3
GPT2,468
AMN,255
RAB8B,3357
IKBIP,669
RPUSD2,256
HIF1AN,2849
NDUFB8,174
ZFYVE19,1435
PPP1R14D,12
SPINT1,7800
FBN1,3468
AVPR1A,16
C16orf78,5
DEPDC4,29
LRTM2,2
OPN1MW2,0
BRD7,2503
CKB,5989
TRMT61A,1004
BTRC,1175
POLL,1795
BAG5,2474
DPCD,370
LARP6,332
API5,3553
ASPG,68
ZNF319,752
HPS6,1005
SENP8,165
NOLC1,2786
ALKBH3,741
COPS2,2875
GABRB3,117
SPIC,1
TBATA,1
SGPL1,2875
FRS2,1414
CCT2,3258
PCBD1,2360
ARIH1,3696
C16orf71,79
CLMP,604
SCN3B,55
COX11,1831
ZNF202,608
FAM227B,210
STXBP4,632
CYYR1,2525
CUL5,1912
MYRFL,6
WBP1L,3997
BORCS7,1497
C2,2970
PLEKHF1,513
TMEM100,5381
ANAPC16,4946
SMPD1,2533
APBB1,2599
SYNPO2L,32
NUDT13,212
C11orf65,34
TRIM44,5029
CCDC182,0
ILK,74
TAF10,401
TPP1,13173
DCHS1,2478
NETO1,0
MSS51,253
CYB5A,10418
USP54,3290
RAG1,118
POTED,0
IFTAP,369
WDR88,51
OR10A5,0
OR2D2,0
ATP9B,1787
PPFIBP2,1645
MOGAT2,1
CYB5R2,1016
SERPINB7,0
GARRE1,3025
SERPINB8,720
TUB,580
RIC3,881
LMO1,2
IDH3A,653
WDR72,60
CRABP1,1
PLD4,429
ZMAT1,2283
XRRA1,258
TRIM66,1408
RNF169,1057
RPL27A,22760
DENND2B,3245
CDYL2,465
TMEM130,446
PRTG,1024
CENPN,111
AKIP1,863
ATMIN,2159
C16orf46,2
TMEM41B,3754
LEO1,604
ZNF143,994
TMX3,3565
