,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
SLC66A1,1042
CTNS,1455
RTN4R,629
PHF23,1261
CDH10,21
INPP4A,2993
RAB27B,1004
PSMA4,3633
MYO16,43
LSG1,1872
PARP3,1755
TNC,2711
THAP3,711
RIPOR3,301
TDP1,587
AIFM2,1356
C2orf83,0
SPATA7,614
MED17,372
RETSAT,3263
CAPG,17312
AP2S1,2629
USH2A,9
ZPBP,1
TG,34
ADAM28,576
BARX2,11
DCUN1D1,1471
JADE2,3067
ZIC2,2
LCP2,3113
TRIT1,773
ADRB1,656
GUCA2B,12
CUL7,1960
CTNNA1,20003
PHKA2,1561
CNTLN,649
EPHA3,196
HSPA5,16294
DSG2,2568
GEMIN8,959
OFD1,2750
GPM6B,1512
MAGEC2,0
PREX2,2215
WDR37,1961
YTHDC2,2253
CTPS2,1302
ATP6V1H,2957
POLR2B,3207
FAM214A,2224
ARAP2,4391
TPR,5835
CP,349
KATNIP,1497
DTNBP1,904
XK,166
ANO2,224
C12orf4,1023
SCML1,1127
WWC3,7711
ARHGAP6,1081
FAM184B,46
MAP4,14242
GOPC,2192
ROS1,8108
USP28,1517
HDAC9,497
TSPAN17,2235
NOP16,333
CC2D2A,1064
RRM2B,3150
ZNF800,1228
TNFRSF17,56
SNX29,2508
LMO3,6908
MRPS10,1180
GUCA1A,0
RSF1,2816
VPS13D,5255
CELF2,9724
FAM120A,8676
R3HDM1,1147
COL9A2,679
KITLG,5216
ERCC8,569
ADAMTS6,152
H6PD,8448
VAMP3,6264
PER3,940
UTS2,7
TNFRSF9,133
EPN3,34
LTBP1,2608
RCN1,1158
ELN,9872
RFC2,844
ARID1B,5192
CLPTM1L,7014
NEDD4L,7951
FOXP3,202
PPP1R3F,210
HEXB,4954
PTCD2,482
NEXMIF,75
JKAMP,1947
DKK3,6974
ARHGEF5,734
NFE2L3,698
MCUR1,1475
LIMA1,4960
LETMD1,3531
SLC4A8,375
LAMC3,6096
PTGER3,89
TNIP3,162
MAPK9,2600
COL23A1,141
BCAR1,5126
FAM160A2,3893
HERPUD1,9142
HOMER3,474
RAD51,67
POLQ,75
PIK3CB,2202
CYBA,8849
THOC3,336
HEBP2,1806
MPHOSPH9,675
PLEKHA5,1943
PRSS8,4933
SIKE1,1464
RRP12,1304
FNIP2,4545
MSMO1,2562
TTC17,5277
ALX4,4
FSTL4,233
FOXN3,4048
METTL24,36
AKR7A2,1525
MRTO4,929
NNAT,84
USE1,1205
MCF2L2,100
NRIP2,399
LAMA3,9287
AP5M1,1832
ANAPC4,2237
KCNQ1,2398
TRAPPC3,2314
THRAP3,6717
PHPT1,2040
ENTPD2,26
LY75,694
ARID4B,3027
OPN3,266
SDCCAG8,1779
PTPRN,0
HHAT,424
KIF1B,3572
FOXC1,150
TBC1D22A,2754
SYNE2,11404
PLEKHH1,590
ATP9A,3157
SPO11,0
CBLN4,31
CHRDL2,26
FAM168A,3062
RELT,962
GALC,4411
NOP58,1595
SZRD1,3566
KCNH2,254
CUL1,3316
FAM114A2,1106
CYFIP2,2908
TAB2,4350
GINM1,2186
EIF2AK2,4406
USP36,3583
KMT2C,6598
MCOLN3,595
CCDC85A,175
PUM2,7935
MRPL43,1735
ITIH4,35
ITIH1,11
HPF1,676
ZFR,3591
ZNF280C,293
NPFFR2,1
PHF21B,4
TRAF1,2008
RC3H2,2941
IL17RB,536
TRAF3IP2,1462
GYG2,61
DCBLD2,2703
SERPINB3,0
SOAT1,4708
PKP2,165
MSH4,12
F7,7
GDI2,8147
PRDM1,4040
ATG5,1705
TMCC3,1030
PITHD1,2204
MTA3,1709
USP13,1427
ATP11B,2778
LAMC2,4697
CDK14,1283
SEC61A1,11507
PPP1R12A,4351
RASGRF1,1815
CAMK2B,35
CROCC,2859
POLR3E,1524
ATP2B4,12883
ZC3H11A,13
RIOK2,816
YIPF1,1325
NDC1,776
DGKG,349
FLYWCH1,4855
UNKL,1587
TBXAS1,3300
PARP12,5166
ALDH18A1,1403
TARBP1,3873
GATB,772
MXD1,1502
CDK17,3033
DNAJC25,437
SLC2A3,5926
PSD,194
CTDP1,1642
YBX3,9565
STYK1,142
WNK1,14691
CCAR1,3402
OGFR,4790
GNA15,943
CREB3L3,7
PIGV,653
PTPRU,4644
SNRNP40,1296
RIMBP2,7
COL11A1,62
QSER1,1669
MPC1,1884
ACAA1,2951
BCAT1,1579
HDAC7,10447
LZTS1,681
PRDM6,1081
WNT8A,0
SPAG4,118
NCKAP1,5875
MRPS35,1525
GUCY1B1,1382
SFSWAP,2989
TNK2,5586
MON2,3337
CDH3,794
ARSF,7
GPBP1,4433
DGAT2,138
ZNF112,199
CS,5486
LTK,2145
MRPS24,8
ELMO2,2342
WAPL,3475
VMP1,11960
APPBP2,2426
POLD1,1437
SEZ6,19
EIF4B,14176
SLC6A16,310
BICRA,1299
SPHK2,841
RPL18,25835
CA11,318
ISOC2,1488
U2AF2,5568
EPN1,7378
MED29,2819
AHRR,1
GSC2,6
ZNF275,1098
MTMR1,2273
GPC1,2294
ADCK1,800
HAGH,2642
RNF4,2823
CASP8,2308
LIMCH1,16365
INTS13,706
TM7SF3,3788
DLX3,21
SPA17,134
TSPAN32,762
CCN5,1085
DMRT3,0
ST3GAL6,1311
ATP2C2,2361
NGFR,96
CDON,453
TAF2,1405
HIPK2,5064
TNPO3,3164
BORCS8-MEF2B,8
RFXANK,1173
TMEM161A,1467
LPAR2,1347
CTSA,6511
SUGP2,6422
SLC12A2,2813
SNX24,1370
EYA2,151
CNN2,11706
ABCA7,3417
SNCAIP,244
DDX20,787
BTBD1,2922
FAR2,731
BCAS1,75
POU1F1,4
CHI3L2,1739
SBNO2,5199
PMS1,918
HMG20B,2597
CALCRL,9333
TAF11,1199
ANKS1A,5200
AP3D1,7943
ZNF76,2714
SLC9A3R2,8947
NTHL1,805
UHRF1BP1,1763
GNAI3,3683
IPO5,5153
OAT,2777
WDR3,1081
PKN2,3338
WDR18,1125
TRAM2,2199
NTN1,613
GLP2R,13
MCM10,38
DGKA,2274
ERBB3,6342
ROPN1,0
ANKRD44,4187
KARS1,4459
ADAT1,929
PDIA5,1458
TBC1D22B,873
NDUFB4,2352
SPEN,5310
MYLK,8418
ZC3H15,2084
MAP2K4,1615
PACC1,528
SNAP91,3
SLK,5783
CYB5R4,1411
COL17A1,519
GSTO2,821
SEC61A2,421
PRKCQ,663
TLE2,3856
ASB1,1529
FAM107B,5597
ME1,1348
TBC1D1,3579
CDK13,3819
MTHFD2,1201
SLC9A7,1358
FOXJ2,2117
YBX1,17725
PDE4A,2635
PPP2R5A,9093
CTNNA2,1
ELAVL1,2809
TIE1,7132
DIP2B,2964
SMARCD1,2650
KDM4A,1056
NFYC,2863
ZMYND12,122
SLC9A3,101
NGEF,28
ASPM,142
CD84,4302
ELOVL1,3887
SPI1,5866
POLR1H,330
MPPED2,50
CLDN18,64789
ZBTB11,1698
ATXN3,1682
GOLGA5,1976
FGFR2,3676
LRRC40,843
ISOC1,1300
EML1,1449
TRMT11,793
THUMPD1,2811
MSANTD3,573
KIF26A,824
ATG2B,3152
ARFGEF1,3489
ACSM2B,4
ZFAT,533
MTFR1,755
STAG3,195
FECH,1483
MYO9A,2959
DDX3Y,2
PFKP,1722
IDI1,2551
SP100,6641
KLF6,28611
PLPP1,771
NEO1,2766
TRAM1,14796
PHKA1,489
TNFRSF1A,7044
CACNB1,1404
EVI5,1886
STOML1,712
